lsoa,names,unemployment_rate,work_popu_rate,population_density,couple_household_with_dependent_children,couple_household_without_dependent_children,lone_parent_household,one_person_household,other_multi_person_household,ethnic_white,ethnic_mixed_multiple,ethnic_asian_asian_british,ethnic_black,ethnic_other,ethnic_bame,country_of_birthc_uk,country_of_birthc_nuk,religionc_christian,religionc_buddhist,religionc_hindu,religionc_jewish,religionc_muslim,religionc_sikh,religionc_other_religion,religionc_no_religion,religionc_religion_not_stated,tenurec_owned_outright,tenurec_owned_with_a_mortgage_or_loan,tenurtc_social_rented,tenurec_private_rented,dwelling_typec_household_spaces_with_at_least_one_usual_resident,dwelling_typec_household_spaces_with_no_usual_residents,dwelling_type_detached,dwelling_type_semi_detached,dwelling_type_terraced,dwelling_type_flat,house_prices,no_qualifications,level1_qualifications,level2_qualifications,apprenticeship,level3_qualifications,level4_qualifications_and_above,other_qualifications,over_18_students,health_activities_limited,health_activities_limited_a_little,health_activities_not_limited,good_health,fair_health,bad_health,nocars,1car,2cars,3cars,4+_cars,cars_per_household,transport_accessibility,household_income
E01000911,Camden 003B,6.40,65.75,8.80,15.80,23.40,14.00,33.20,13.60,78.00,5.30,6.70,7.00,3.00,22.00,73.40,26.60,38.00,1.00,0.60,2.80,7.60,0.00,0.50,31.40,18.00,20.70,22.60,39.70,15.80,97.80,2.20,1.50,4.00,22.00,72.40,425000.00,15.50,6.80,7.90,1.50,9.20,53.30,5.90,5.60,6.00,9.30,84.70,83.70,11.00,5.30,50.40,42.70,6.50,0.30,0.20,0.60,4.90,37176
E01000921,Camden 003C,4.80,79.40,12.40,12.20,22.20,7.50,40.30,17.90,76.40,7.80,7.80,6.10,1.90,23.60,67.30,32.70,30.00,1.10,0.10,1.60,5.90,0.00,0.90,37.70,22.70,11.20,15.50,21.00,48.80,96.90,3.10,0.70,2.70,7.70,88.90,342495.00,9.20,6.20,7.80,0.60,9.60,61.00,5.70,7.70,4.40,6.20,89.40,86.80,9.10,4.10,70.70,25.70,2.70,0.70,0.10,0.40,5.90,35597
E01000923,Camden 003D,7.10,73.03,8.50,14.20,20.70,10.40,40.50,14.20,79.10,6.30,7.20,5.40,2.00,20.90,74.00,26.00,34.70,0.90,0.50,1.70,5.10,0.50,0.60,38.60,17.40,22.60,24.80,33.80,17.70,98.60,1.40,0.80,5.10,32.50,61.70,480000.00,13.90,5.90,8.30,0.20,8.50,57.90,5.10,7.80,10.90,7.70,81.40,80.80,11.60,7.60,53.80,40.20,5.80,0.20,0.00,0.50,5.60,45322
E01000928,Camden 003E,5.70,68.23,25.30,15.40,20.10,12.90,34.30,17.30,74.50,6.20,9.50,6.70,3.20,25.50,69.30,30.70,36.10,0.80,0.50,2.80,9.50,0.10,0.70,32.20,17.40,18.80,22.60,37.10,19.60,98.70,1.30,1.60,5.10,18.50,74.70,346500.00,17.20,6.80,8.10,1.30,8.20,50.60,7.70,5.60,10.10,8.50,81.40,81.70,12.30,6.00,55.90,37.70,5.90,0.30,0.30,0.50,5.70,35656
E01000878,Camden 004A,4.50,73.15,19.20,17.60,29.30,8.00,34.20,10.90,68.50,6.60,16.90,4.10,3.90,31.50,54.00,46.00,27.20,1.50,4.00,17.70,7.10,0.40,1.30,24.00,16.80,35.10,20.50,11.30,29.30,93.20,6.80,7.10,4.10,2.50,86.30,725000.00,7.70,4.30,7.50,0.60,23.20,45.60,11.00,27.20,4.00,6.70,89.30,87.60,9.20,3.10,34.20,43.60,16.70,3.80,1.60,1.00,4.30,56251
E01000879,Camden 004B,4.50,69.62,17.70,17.90,26.40,5.50,39.40,10.80,80.40,4.80,8.80,2.30,3.70,19.60,56.00,44.00,35.50,1.50,2.00,10.80,2.30,0.30,0.90,27.60,19.10,30.10,19.60,8.30,40.00,94.40,5.60,7.80,6.40,4.70,81.00,812500.00,5.20,4.30,8.30,1.00,12.90,60.00,8.40,13.00,3.80,6.30,89.90,90.10,7.40,2.50,45.80,41.00,10.50,2.00,0.70,0.70,4.90,64715
E01000880,Camden 004C,3.30,62.80,20.40,25.90,21.70,5.50,30.80,16.10,75.80,6.20,12.00,2.20,3.90,24.20,50.20,49.80,37.70,1.20,2.40,12.50,3.50,0.10,1.20,21.80,19.60,27.90,22.90,5.30,41.70,92.30,7.70,7.60,7.00,2.40,83.10,930500.00,4.90,4.10,7.60,0.50,5.90,68.10,8.90,4.90,3.50,4.40,92.10,91.10,7.10,1.80,35.60,48.60,12.60,2.70,0.50,0.80,5.80,69876
E01000884,Camden 004D,3.40,64.06,24.50,24.30,25.50,5.70,31.40,13.20,79.90,5.80,9.50,2.20,2.70,20.10,57.70,42.30,28.80,0.70,2.10,20.80,3.70,0.10,0.60,19.50,23.70,37.10,25.80,4.20,30.80,91.70,8.30,12.10,20.30,2.90,64.70,1030000.00,4.90,3.70,8.80,0.40,7.70,65.30,9.20,7.10,2.90,5.00,92.10,90.50,7.40,2.20,26.20,40.70,25.80,5.90,1.40,1.20,2.70,71430
E01000885,Camden 004E,3.10,56.40,30.40,21.30,32.40,5.90,29.10,11.30,75.70,7.10,10.60,1.30,5.10,24.30,58.50,41.50,30.70,1.70,0.80,18.80,3.20,0.20,0.90,17.90,25.90,43.20,15.50,8.40,27.40,91.40,8.60,16.50,14.00,8.30,61.10,1572500.00,10.80,5.10,8.40,0.40,7.40,56.60,11.30,4.20,7.50,5.30,87.20,87.20,9.30,3.50,19.80,49.70,22.30,4.90,3.40,1.30,2.60,78339
E01000871,Camden 005A,6.50,70.07,30.60,15.70,25.80,6.50,29.00,23.10,70.30,7.00,12.30,4.70,5.80,29.70,62.40,37.60,32.40,1.10,1.80,12.90,11.70,0.40,0.50,19.20,20.10,29.00,26.40,14.40,26.70,93.20,6.80,8.10,28.20,6.80,56.80,650000.00,8.80,6.10,7.10,1.00,9.70,57.80,9.50,6.90,4.80,6.70,88.50,86.80,9.40,3.80,36.70,42.60,14.90,4.70,1.10,0.90,3.90,50050
E01000872,Camden 005B,5.50,81.70,14.70,9.70,20.90,7.60,41.80,19.90,66.90,7.00,14.50,7.40,4.20,33.10,47.60,52.40,39.40,1.60,1.30,1.40,7.80,0.30,0.40,25.10,22.60,9.40,15.80,14.80,58.60,94.70,5.30,4.60,10.60,3.30,81.50,342475.00,11.20,7.10,7.30,1.10,8.90,51.60,12.70,7.30,6.60,6.80,86.60,86.50,9.30,4.20,65.10,27.80,6.80,0.30,0.00,0.40,5.10,32194
E01000873,Camden 005C,4.20,74.25,12.20,14.10,23.50,8.50,33.10,20.80,81.30,4.00,6.80,4.60,3.40,18.70,67.90,32.10,37.20,0.70,0.80,6.70,3.70,0.00,0.40,29.60,20.90,26.30,25.60,13.80,33.40,97.10,2.90,2.10,4.40,26.30,67.30,560000.00,6.60,4.20,6.90,1.20,8.30,65.50,7.40,4.00,3.70,6.30,89.90,89.40,6.80,3.80,44.80,42.80,11.30,1.10,0.00,0.70,3.80,54005
E01000874,Camden 005D,3.60,71.65,8.60,17.90,27.00,5.00,32.20,17.90,75.60,4.70,11.80,2.30,5.60,24.40,53.90,46.10,33.70,0.70,3.30,11.00,5.30,0.30,0.60,27.20,17.90,27.70,28.30,3.00,38.80,95.90,4.10,0.40,0.70,4.10,94.80,615000.00,4.40,3.80,6.50,0.40,7.50,67.50,10.00,7.30,3.00,5.30,91.70,91.00,7.00,2.10,45.90,46.90,6.80,0.40,0.00,0.60,5.90,57465
E01000877,Camden 005E,5.20,76.18,11.10,15.60,25.60,5.00,37.70,16.10,79.10,5.30,8.60,3.20,3.80,20.90,58.80,41.20,37.40,0.80,1.10,9.70,3.90,0.00,0.70,25.00,21.30,17.90,23.40,9.80,46.80,94.50,5.50,2.00,4.90,20.60,72.40,845000.00,6.30,5.60,7.40,0.70,8.80,64.20,6.90,4.70,4.50,6.80,88.70,87.70,8.70,3.60,48.80,40.50,9.20,0.80,0.70,0.60,5.00,54472
E01000886,Camden 006A,4.40,69.20,10.30,18.30,22.40,9.40,30.90,19.00,82.80,7.20,5.50,2.60,1.90,17.20,70.40,29.60,35.00,1.50,0.70,2.30,3.30,0.10,0.30,36.10,20.80,24.90,29.90,17.70,25.70,95.10,4.90,0.90,8.60,22.40,68.00,442500.00,7.80,6.70,7.80,0.60,8.50,62.10,6.40,5.00,6.00,6.50,87.50,86.90,8.90,4.20,42.20,46.50,10.20,1.00,0.00,0.70,4.00,50302
E01000887,Camden 006B,5.80,74.23,10.00,13.20,22.20,8.80,38.00,17.80,77.10,6.20,9.70,2.70,4.30,22.90,62.20,37.80,36.50,0.80,1.60,3.70,4.80,0.10,0.40,30.60,21.50,18.60,24.60,19.10,35.50,96.60,3.40,0.80,3.80,22.00,73.40,419000.00,10.00,6.60,5.90,0.60,7.40,60.90,8.50,5.50,6.50,6.20,87.30,85.10,9.80,5.20,55.80,36.70,6.40,1.00,0.10,0.50,4.80,44663
E01000888,Camden 006C,6.60,69.35,9.40,18.70,20.90,9.60,36.20,14.60,77.60,6.60,8.70,4.90,2.30,22.40,67.60,32.40,37.90,1.40,0.70,4.50,6.10,0.10,0.60,31.10,17.60,21.50,19.40,30.70,27.00,97.30,2.70,1.00,3.10,21.80,74.20,495000.00,11.60,6.00,8.10,1.50,8.10,59.10,5.60,9.10,6.00,7.20,86.80,85.80,8.60,5.60,53.50,37.90,7.30,1.30,0.00,0.60,4.20,43520
E01000892,Camden 006D,5.00,66.25,12.20,15.40,21.00,12.00,37.40,14.10,74.40,5.90,11.30,5.80,2.60,25.60,63.00,37.00,34.30,1.00,0.90,4.40,8.40,0.20,0.70,30.40,19.70,21.10,17.70,28.30,28.40,96.90,3.10,1.20,7.70,8.50,82.70,525000.00,9.50,6.30,8.80,1.00,9.00,56.60,8.70,5.50,7.10,7.20,85.70,84.00,10.40,5.60,51.80,41.30,6.00,0.90,0.10,0.60,4.80,43769
E01000903,Camden 006E,6.90,72.13,10.20,14.30,20.60,6.40,43.90,14.90,74.10,5.10,13.20,5.10,2.40,25.90,62.90,37.10,35.90,0.80,1.00,4.30,9.00,0.80,0.10,27.70,20.30,24.60,16.50,32.10,24.50,96.10,3.90,1.40,4.90,14.40,79.30,560000.00,11.50,5.50,8.30,0.60,9.20,56.70,8.20,7.90,7.80,7.90,84.30,82.40,11.50,6.00,52.00,42.60,4.50,0.90,0.00,0.50,3.80,43891
E01000889,Camden 007A,11.80,67.84,11.70,15.20,15.80,20.20,34.10,14.60,60.90,8.40,14.80,11.70,4.30,39.10,69.20,30.80,42.80,0.70,0.10,0.90,16.80,0.10,0.50,20.50,17.50,5.80,10.80,71.80,10.00,99.20,0.80,2.70,5.10,16.60,75.50,275000.00,26.40,11.70,10.90,1.90,11.00,28.50,9.70,8.40,11.20,10.80,78.00,74.70,14.30,11.10,64.50,28.90,5.50,1.10,0.00,0.40,3.60,25438
E01000890,Camden 007B,13.30,63.48,7.60,9.90,14.70,16.30,46.50,12.50,61.00,5.50,13.90,14.60,5.00,39.00,61.90,38.10,43.00,1.00,0.70,0.40,19.90,0.10,0.70,16.50,17.70,2.70,6.00,82.80,7.00,98.80,1.20,0.10,0.10,0.90,98.80,221000.00,30.60,12.60,11.20,0.80,9.10,24.80,11.00,7.80,15.10,12.00,72.90,70.30,16.60,13.00,71.10,24.90,3.90,0.00,0.10,0.30,4.10,20034
E01000891,Camden 007C,13.80,66.54,7.80,11.00,12.10,20.80,41.50,14.60,56.70,6.20,17.70,15.70,3.80,43.30,61.80,38.20,35.40,0.70,0.60,0.80,21.80,0.00,0.20,19.40,21.10,5.50,8.00,68.50,16.10,98.50,1.50,1.00,0.40,3.10,95.50,275750.00,29.20,12.20,10.20,1.20,11.50,27.50,8.30,11.20,14.60,10.60,74.80,75.00,13.80,11.10,75.60,22.00,1.90,0.10,0.30,0.30,3.20,19956
E01000901,Camden 007D,11.40,68.08,10.60,17.80,9.50,23.30,32.40,16.90,49.80,7.60,23.60,13.80,5.20,50.20,61.10,38.90,33.60,0.50,1.10,0.70,23.90,0.10,0.30,20.90,18.90,4.40,11.10,66.10,13.40,98.50,1.50,0.10,0.80,4.10,95.00,275000.00,22.30,12.10,9.60,1.20,11.70,34.40,8.70,19.70,9.80,8.40,81.80,79.30,13.40,7.30,68.70,28.70,2.40,0.10,0.00,0.30,4.60,23151
E01000922,Camden 007E,6.00,77.18,19.10,9.60,16.20,11.20,40.70,22.20,72.30,7.60,7.10,10.80,2.30,27.70,70.30,29.70,34.80,0.70,0.40,1.00,9.70,0.10,0.80,32.60,19.80,13.30,13.20,42.10,26.50,97.80,2.20,1.20,3.60,17.20,77.80,387500.00,14.30,7.90,7.90,0.90,19.00,44.20,5.90,19.20,6.00,7.70,86.30,85.40,9.90,4.70,65.50,30.90,3.10,0.00,0.50,0.40,5.90,30870
E01000927,Camden 007F,4.50,75.49,10.10,12.90,22.30,12.10,27.90,24.70,76.80,6.50,8.60,5.60,2.40,23.20,66.50,33.50,31.90,1.20,1.10,2.00,6.20,0.00,0.30,36.00,21.30,25.90,23.40,21.50,27.20,97.90,2.10,1.20,4.10,33.90,60.70,537550.00,12.80,4.70,6.30,0.90,9.00,59.20,7.00,8.60,6.20,7.10,86.70,84.30,11.00,4.70,54.60,39.90,5.20,0.30,0.00,0.50,6.70,43205
E01000881,Camden 008A,4.60,71.13,14.80,12.70,22.60,5.40,39.10,20.30,67.90,8.00,16.40,5.20,2.60,32.10,43.00,57.00,33.60,1.70,2.10,8.10,6.00,0.10,0.30,24.40,23.70,22.20,11.60,9.80,54.10,92.30,7.70,5.40,3.10,1.20,90.40,546436.00,5.10,4.00,4.60,0.20,9.80,62.30,13.90,13.10,5.40,6.10,88.50,88.30,8.20,3.50,53.20,35.60,9.00,1.70,0.50,0.60,6.40,48802
E01000882,Camden 008B,2.60,71.51,12.20,15.90,27.90,4.30,38.60,13.30,80.90,4.80,9.90,1.40,3.00,19.10,50.50,49.50,35.70,1.50,1.60,10.30,2.70,0.10,0.50,22.30,25.40,29.00,20.50,2.70,45.30,96.20,3.80,3.80,4.40,12.70,79.10,837500.00,3.20,2.30,5.30,0.40,6.60,72.20,10.10,4.00,2.20,4.20,93.60,92.10,6.50,1.30,45.50,43.00,9.50,1.20,0.80,0.70,5.40,66131
E01000883,Camden 008C,5.00,73.91,14.10,14.10,23.50,4.40,40.40,17.60,64.10,5.20,24.10,2.30,4.20,35.90,40.80,59.20,31.90,2.50,3.30,8.50,5.80,0.50,1.10,27.50,18.90,20.80,14.40,7.80,54.20,94.90,5.10,1.80,1.60,1.00,95.50,620000.00,6.80,2.90,5.40,0.30,7.20,64.20,13.20,10.40,4.40,6.50,89.10,89.10,8.10,2.90,61.40,31.30,5.60,1.30,0.30,0.50,6.80,50701
E01000897,Camden 008D,3.30,64.75,19.80,22.10,30.10,3.60,33.70,10.50,79.50,6.10,11.00,0.90,2.60,20.50,53.20,46.80,32.20,1.30,2.00,14.50,2.60,0.40,0.80,25.00,21.10,38.60,20.90,2.20,35.00,93.80,6.20,3.30,8.80,3.90,84.00,733750.00,4.60,3.10,5.30,0.00,5.90,73.50,7.50,4.10,4.10,5.30,90.60,90.80,6.80,2.40,37.20,47.20,13.00,1.70,1.00,0.80,4.60,72916
E01000898,Camden 008E,5.00,72.87,17.10,11.50,18.40,6.10,49.20,14.80,58.50,8.70,19.50,8.80,4.40,41.50,51.40,48.60,35.00,0.60,2.90,5.70,7.80,0.30,0.80,21.30,25.70,13.30,8.40,44.10,31.60,96.70,3.30,2.50,4.80,7.20,85.60,765000.00,10.00,4.10,6.00,0.50,7.90,63.50,7.90,6.30,7.90,7.30,84.80,84.70,9.80,5.50,66.00,27.50,5.60,0.80,0.00,0.40,5.00,44230
E01000866,Camden 009A,7.10,72.36,14.60,11.60,18.30,12.40,39.30,18.50,70.60,6.30,9.50,9.10,4.50,29.40,66.10,33.90,32.10,0.40,0.70,2.30,9.90,0.00,0.60,33.90,20.00,15.80,15.90,44.00,22.00,98.30,1.70,1.50,7.60,8.40,82.50,429250.00,14.30,7.80,8.60,1.00,10.90,50.40,6.90,9.30,9.20,7.50,83.30,80.30,12.10,7.60,62.20,32.20,5.20,0.30,0.10,0.40,6.30,33436
E01000870,Camden 009B,7.40,74.13,12.70,11.90,20.30,12.10,40.80,14.90,74.80,5.80,7.60,10.30,1.50,25.20,70.20,29.80,37.00,0.80,0.20,1.70,8.20,0.10,0.80,31.80,19.40,12.40,20.50,45.20,19.60,98.00,2.00,0.80,8.70,6.30,84.20,375000.00,15.80,8.80,9.60,1.50,10.00,49.00,5.30,7.70,10.10,8.00,81.90,80.90,11.50,7.60,59.00,36.40,4.00,0.50,0.00,0.50,5.70,31544
E01000924,Camden 009C,5.00,77.83,9.80,9.30,25.80,8.10,38.60,18.20,78.70,5.70,8.20,5.30,2.00,21.30,68.80,31.20,32.80,0.70,0.70,1.40,5.90,0.10,0.50,38.40,19.50,19.90,20.50,24.80,32.80,97.20,2.80,1.30,3.20,12.30,82.90,460000.00,8.50,6.80,8.10,0.80,6.80,63.00,6.10,7.60,6.70,5.50,87.80,86.30,8.90,4.90,60.00,35.30,4.00,0.30,0.40,0.50,5.00,40620
E01000925,Camden 009D,11.90,63.40,8.30,13.00,12.60,18.60,39.10,16.70,55.30,4.70,18.70,19.00,2.20,44.70,59.20,40.80,35.00,1.20,0.40,0.80,22.90,0.10,0.50,23.30,15.70,8.10,11.60,63.00,16.10,98.60,1.40,0.30,3.10,6.90,89.70,350000.00,25.40,10.50,10.60,1.30,9.90,34.30,8.10,10.20,9.00,10.70,80.30,78.80,13.30,7.90,70.40,26.40,2.70,0.50,0.00,0.30,5.30,24857
E01000926,Camden 009E,3.90,79.62,9.20,10.90,16.80,11.20,29.20,31.90,59.30,4.50,20.40,7.60,8.30,40.70,52.50,47.50,26.50,1.70,0.30,1.20,13.10,0.00,0.70,32.50,24.10,10.60,15.50,33.10,39.00,98.30,1.70,0.70,17.00,7.50,74.80,730000.00,10.80,5.50,7.00,1.00,9.80,61.00,4.90,9.80,5.00,5.10,89.90,86.40,8.50,5.10,63.90,32.40,3.20,0.30,0.30,0.40,5.00,32990
E01000969,Camden 010A,3.90,80.12,16.70,13.10,23.80,4.90,35.70,22.40,74.50,5.60,13.70,2.90,3.30,25.50,50.70,49.30,31.70,1.10,2.70,9.40,4.10,0.20,0.80,26.30,23.60,19.70,21.30,5.00,51.90,96.30,3.70,2.80,7.90,1.40,87.80,490000.00,4.10,3.50,4.40,0.80,6.40,71.40,9.50,5.30,3.60,4.20,92.20,90.50,7.00,2.50,53.20,37.90,7.40,1.30,0.10,0.60,6.20,54854
E01000970,Camden 010B,3.40,86.98,6.90,5.30,23.70,3.70,48.90,18.40,81.40,4.40,8.20,3.10,2.90,18.60,59.20,40.80,34.90,1.00,1.60,8.70,2.40,0.10,0.60,29.40,21.50,14.90,23.10,7.30,53.40,96.40,3.60,0.30,1.60,5.90,92.10,496000.00,4.40,3.40,5.70,0.80,5.90,72.20,7.60,5.00,4.10,4.30,91.60,91.30,6.00,2.80,61.50,33.20,5.10,0.20,0.00,0.40,5.80,48915
E01000971,Camden 010C,4.00,73.41,8.00,19.00,26.70,6.00,34.20,14.20,80.90,4.90,9.90,1.90,2.40,19.10,64.80,35.20,38.30,1.50,0.70,6.70,5.10,0.10,0.90,26.70,20.10,25.60,25.10,10.90,37.40,97.20,2.80,0.40,3.90,37.00,58.70,507500.00,8.00,4.90,5.70,1.10,6.70,64.50,9.10,5.60,5.80,5.40,88.80,88.20,7.90,3.90,46.10,44.20,6.80,2.30,0.60,0.70,4.90,55958
E01000972,Camden 010D,8.20,73.82,14.00,10.90,17.30,13.60,43.60,14.60,56.90,6.30,15.80,16.30,4.60,43.10,51.80,48.20,36.00,2.00,1.00,2.70,14.10,0.70,0.60,22.10,20.70,9.30,6.30,46.20,35.60,97.50,2.50,1.00,2.10,7.50,89.40,485000.00,15.00,7.80,8.10,1.20,9.70,48.30,10.00,9.00,10.10,7.80,82.10,80.60,10.70,8.70,66.80,28.90,3.90,0.40,0.00,0.40,6.80,30164
E01000973,Camden 010E,7.10,80.85,23.60,8.40,21.10,10.40,38.10,21.90,63.20,6.30,16.50,10.60,3.40,36.80,56.70,43.30,36.80,1.20,1.50,4.00,12.00,0.40,0.80,23.30,20.00,9.30,14.10,28.20,46.60,94.60,5.40,1.50,3.00,8.60,87.00,380950.00,10.90,6.80,7.70,0.90,9.40,56.80,7.40,8.30,6.40,6.40,87.20,84.20,9.90,5.90,62.90,31.70,5.00,0.40,0.00,0.40,6.20,33620
E01000842,Camden 011A,3.90,72.44,10.50,13.40,25.70,4.30,47.00,9.70,81.00,4.60,9.20,2.40,2.90,19.00,51.00,49.00,33.00,1.40,1.50,11.30,1.70,0.10,0.40,28.40,22.20,31.50,18.10,11.50,36.60,93.90,6.10,2.20,4.40,0.90,92.50,725000.00,4.10,3.70,6.80,0.60,5.90,69.80,9.20,5.90,4.40,5.70,89.80,89.70,7.80,2.50,48.80,42.40,7.20,1.50,0.10,0.60,4.10,62118
